# time   #sound   #sound-evelope   #vS-envelope
20.491271 -117.000000 1218.914748 1223.999980
20.491292 -125.000000 1218.914743 1223.999976
20.491312 -157.000000 1218.914740 1223.999974
20.491333 -203.000000 1218.914737 1223.999972
20.491354 -264.000000 1218.914736 1223.999971
20.491375 -323.000000 1218.914735 1223.999970
20.491396 -345.000000 1218.914734 1223.999970
20.491417 -315.000000 1218.914735 1223.999971
20.491437 -260.000000 1218.914736 1223.999971
20.491458 -223.000000 1218.914737 1223.999973
20.491479 -218.000000 1218.914739 1223.999974
20.491500 -245.000000 1218.914742 1223.999976
20.491521 -294.000000 1218.914744 1223.999978
20.491542 -351.000000 1218.914747 1223.999980
20.491563 -386.000000 1218.914750 1223.999983
20.491583 -362.000000 1218.914753 1223.999985
20.491604 -273.000000 1218.914756 1223.999987
20.491625 -158.000000 1218.914760 1223.999990
20.491646 -77.000000 1218.914763 1223.999992
20.491667 -69.000000 1218.914766 1223.999994
20.491688 -120.000000 1218.914768 1223.999996
20.491708 -189.000000 1218.914771 1223.999998
20.491729 -231.000000 1218.914773 1224.000000
20.491750 -215.000000 1218.914776 1224.000002
20.491771 -145.000000 1218.914778 1224.000003
20.491792 -56.000000 1218.914779 1224.000005
20.491813 23.000000 1218.914781 1224.000006
20.491833 83.000000 1218.914782 1224.000006
20.491854 112.000000 1218.914783 1224.000007
20.491875 90.000000 1218.914784 1224.000008
20.491896 30.000000 1218.914784 1224.000008
20.491917 -19.000000 1218.914784 1224.000008
20.491937 -21.000000 1218.914784 1224.000008
20.491958 17.000000 1218.914784 1224.000008
20.491979 74.000000 1218.914784 1224.000008
20.492000 129.000000 1218.914784 1224.000007
20.492021 157.000000 1218.914783 1224.000007
20.492042 145.000000 1218.914782 1224.000007
20.492062 117.000000 1218.914782 1224.000006
20.492083 98.000000 1218.914781 1224.000005
20.492104 88.000000 1218.914780 1224.000005
20.492125 77.000000 1218.914779 1224.000004
20.492146 67.000000 1218.914778 1224.000003
20.492167 71.000000 1218.914778 1224.000003
20.492188 84.000000 1218.914777 1224.000002
20.492208 108.000000 1218.914776 1224.000002
20.492229 144.000000 1218.914775 1224.000001
20.492250 178.000000 1218.914774 1224.000000
20.492271 191.000000 1218.914774 1224.000000
20.492292 188.000000 1218.914773 1223.999999
20.492313 198.000000 1218.914773 1223.999999
20.492333 235.000000 1218.914772 1223.999999
20.492354 284.000000 1218.914772 1223.999998
20.492375 317.000000 1218.914771 1223.999998
20.492396 320.000000 1218.914771 1223.999998
20.492417 320.000000 1218.914771 1223.999998
20.492438 363.000000 1218.914771 1223.999998
20.492458 458.000000 1218.914771 1223.999998
20.492479 553.000000 1218.914771 1223.999998
20.492500 585.000000 1218.914771 1223.999998
20.492521 546.000000 1218.914771 1223.999998
20.492542 480.000000 1218.914771 1223.999998
20.492562 427.000000 1218.914771 1223.999998
20.492583 405.000000 1218.914771 1223.999998
20.492604 419.000000 1218.914772 1223.999998
20.492625 469.000000 1218.914772 1223.999999
20.492646 528.000000 1218.914772 1223.999999
20.492667 559.000000 1218.914772 1223.999999
20.492687 559.000000 1218.914772 1223.999999
20.492708 553.000000 1218.914773 1223.999999
20.492729 544.000000 1218.914773 1223.999999
20.492750 508.000000 1218.914773 1224.000000
20.492771 447.000000 1218.914773 1224.000000
20.492792 399.000000 1218.914774 1224.000000
20.492812 389.000000 1218.914774 1224.000000
20.492833 404.000000 1218.914774 1224.000000
20.492854 422.000000 1218.914774 1224.000000
20.492875 433.000000 1218.914774 1224.000000
20.492896 418.000000 1218.914774 1224.000000
20.492917 369.000000 1218.914774 1224.000000
20.492938 300.000000 1218.914774 1224.000001
20.492958 231.000000 1218.914774 1224.000001
20.492979 165.000000 1218.914774 1224.000001
20.493000 100.000000 1218.914774 1224.000001
20.493021 53.000000 1218.914774 1224.000001
20.493042 40.000000 1218.914774 1224.000001
20.493063 63.000000 1218.914774 1224.000001
20.493083 100.000000 1218.914774 1224.000001
20.493104 117.000000 1218.914774 1224.000001
20.493125 91.000000 1218.914774 1224.000000
20.493146 34.000000 1218.914774 1224.000000
20.493167 -20.000000 1218.914774 1224.000000
20.493188 -55.000000 1218.914774 1224.000000
20.493208 -72.000000 1218.914774 1224.000000
20.493229 -57.000000 1218.914774 1224.000000
20.493250 -4.000000 1218.914774 1224.000000
20.493271 65.000000 1218.914774 1224.000000
20.493292 104.000000 1218.914774 1224.000000
20.493312 97.000000 1218.914774 1224.000000
20.493333 56.000000 1218.914774 1224.000000
20.493354 -2.000000 1218.914774 1224.000000
20.493375 -55.000000 1218.914774 1224.000000
20.493396 -78.000000 1218.914774 1224.000000
20.493417 -70.000000 1218.914774 1224.000000
20.493437 -49.000000 1218.914774 1224.000000
20.493458 -35.000000 1218.914774 1224.000000
20.493479 -40.000000 1218.914773 1224.000000
20.493500 -70.000000 1218.914773 1224.000000
20.493521 -127.000000 1218.914773 1224.000000
20.493542 -176.000000 1218.914773 1224.000000
20.493562 -189.000000 1218.914773 1224.000000
20.493583 -176.000000 1218.914773 1224.000000
20.493604 -180.000000 1218.914773 1224.000000
20.493625 -213.000000 1218.914773 1224.000000
20.493646 -252.000000 1218.914773 1224.000000
20.493667 -268.000000 1218.914773 1224.000000
20.493688 -265.000000 1218.914774 1224.000000
20.493708 -265.000000 1218.914774 1224.000000
20.493729 -284.000000 1218.914774 1224.000000
20.493750 -304.000000 1218.914774 1224.000000
20.493771 -306.000000 1218.914774 1224.000000
20.493792 -304.000000 1218.914774 1224.000000
20.493813 -320.000000 1218.914774 1224.000000
20.493833 -349.000000 1218.914774 1224.000000
20.493854 -366.000000 1218.914774 1224.000000
20.493875 -371.000000 1218.914774 1224.000000
20.493896 -376.000000 1218.914774 1224.000000
20.493917 -375.000000 1218.914774 1224.000000
20.493938 -350.000000 1218.914774 1224.000000
20.493958 -301.000000 1218.914774 1224.000000
20.493979 -250.000000 1218.914774 1224.000000
20.494000 -222.000000 1218.914774 1224.000000
20.494021 -233.000000 1218.914774 1224.000000
20.494042 -279.000000 1218.914774 1224.000000
20.494062 -323.000000 1218.914774 1224.000000
20.494083 -326.000000 1218.914774 1224.000000
20.494104 -278.000000 1218.914774 1224.000000
20.494125 -202.000000 1218.914774 1224.000000
20.494146 -132.000000 1218.914774 1224.000000
20.494167 -90.000000 1218.914774 1224.000000
20.494187 -86.000000 1218.914774 1224.000000
20.494208 -122.000000 1218.914774 1224.000000
20.494229 -186.000000 1218.914774 1224.000000
20.494250 -255.000000 1218.914774 1224.000000
20.494271 -289.000000 1218.914774 1224.000000
20.494292 -249.000000 1218.914774 1224.000000
20.494312 -146.000000 1218.914774 1224.000000
20.494333 -51.000000 1218.914774 1224.000000
20.494354 -28.000000 1218.914774 1224.000000
20.494375 -85.000000 1218.914774 1224.000000
20.494396 -189.000000 1218.914774 1224.000000
20.494417 -286.000000 1218.914774 1224.000000
20.494438 -313.000000 1218.914774 1224.000000
20.494458 -248.000000 1218.914774 1224.000000
20.494479 -140.000000 1218.914774 1224.000000
20.494500 -63.000000 1218.914774 1224.000000
20.494521 -52.000000 1218.914774 1224.000000
20.494542 -92.000000 1218.914774 1224.000000
20.494563 -152.000000 1218.914774 1224.000000
20.494583 -202.000000 1218.914774 1224.000000
20.494604 -220.000000 1218.914774 1224.000000
20.494625 -198.000000 1218.914774 1224.000000
20.494646 -154.000000 1218.914774 1224.000000
20.494667 -93.000000 1218.914773 1224.000000
20.494688 -27.000000 1218.914773 1224.000000
20.494708 21.000000 1218.914773 1224.000000
20.494729 28.000000 1218.914773 1224.000000
